rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
539789,351515,mobile,ended,156.0,,,Late 120-180 min,come later,Parking
539857,294107,mobile,ended,-96.0,,,Early,come earlier,Parking
539860,363386,mobile,ended,81.0,,,Late 60-120 min,come later,Parking
539862,383915,mobile,ended,25.0,,,Late under 30 min,come later,Parking
540048,385607,mobile,ended,-179.0,,,Early,come earlier,Parking
540145,408705,mobile,ended,0.0,,,Late under 30 min,come earlier,Parking
540207,311923,connect,canceled,,,,Early,come earlier,Parking
540228,317770,connect,ended,-16.0,,,Early,come earlier,Parking
540243,352921,connect,ended,6.0,537768.0,0.0,Late under 30 min,come later,rented again
540324,402929,mobile,ended,-28.0,,,Early,come earlier,Parking
540348,409614,mobile,ended,659.0,,,Late more than 180 min,come later,Parking
540416,368724,mobile,canceled,,538062.0,270.0,Early,come earlier,rented again
540499,402513,mobile,ended,-17.0,,,Early,come earlier,Parking
540515,352745,connect,ended,-65.0,,,Early,come earlier,Parking
540554,334784,mobile,ended,-51.0,,,Early,come earlier,Parking
540610,173202,mobile,ended,-155.0,,,Early,come earlier,Parking
540618,319886,connect,ended,31.0,,,Late 30-60 min,come later,Parking
540630,384732,mobile,ended,37.0,,,Late 30-60 min,come later,Parking
540677,293001,mobile,canceled,,,,Early,come earlier,Parking
540682,368277,mobile,ended,,,,Early,come earlier,Parking
540701,380647,connect,ended,-110.0,,,Early,come earlier,Parking
540758,336059,mobile,ended,654.0,,,Late more than 180 min,come later,Parking
540764,309450,mobile,ended,26.0,,,Late under 30 min,come later,Parking
540766,269977,mobile,ended,-2048.0,,,Early,come earlier,Parking
540845,409737,mobile,ended,13.0,,,Late under 30 min,come later,Parking
540887,310534,mobile,ended,-18.0,,,Early,come earlier,Parking
540902,403884,mobile,ended,-190.0,,,Early,come earlier,Parking
540939,333107,mobile,ended,-17.0,,,Early,come earlier,Parking
540994,382705,mobile,ended,-3.0,,,Early,come earlier,Parking
541021,382637,mobile,canceled,,,,Early,come earlier,Parking
541191,410047,mobile,ended,-38.0,,,Early,come earlier,Parking
541219,407897,mobile,ended,-182.0,,,Early,come earlier,Parking
541220,393534,mobile,canceled,,,,Early,come earlier,Parking
541349,384983,mobile,ended,357.0,,,Late more than 180 min,come later,Parking
541376,367507,mobile,ended,-3.0,,,Early,come earlier,Parking
541467,263907,mobile,ended,49.0,,,Late 30-60 min,come later,Parking
541504,334320,mobile,ended,,,,Early,come earlier,Parking
541510,346181,mobile,ended,-1388.0,,,Early,come earlier,Parking
541521,288908,connect,ended,21.0,,,Late under 30 min,come later,Parking
541550,392932,mobile,canceled,,,,Early,come earlier,Parking
541669,296145,mobile,ended,-42.0,,,Early,come earlier,Parking
541680,397385,mobile,ended,-136.0,,,Early,come earlier,Parking
541697,365832,mobile,ended,120.0,,,Late 120-180 min,come later,Parking
541708,381583,mobile,ended,15.0,,,Late under 30 min,come later,Parking
541713,389451,mobile,ended,40.0,,,Late 30-60 min,come later,Parking
541760,367632,connect,ended,-29.0,527974.0,270.0,Early,come earlier,rented again
541852,320134,mobile,ended,,,,Early,come earlier,Parking
541856,342991,mobile,ended,-144.0,,,Early,come earlier,Parking
541863,358982,connect,ended,-159.0,540103.0,720.0,Early,come earlier,rented again
541885,387614,mobile,ended,38.0,,,Late 30-60 min,come later,Parking
541913,221634,mobile,canceled,,,,Early,come earlier,Parking
541960,395532,mobile,ended,-6.0,,,Early,come earlier,Parking
542007,405881,mobile,ended,23.0,,,Late under 30 min,come later,Parking
542028,317298,connect,ended,-225.0,538558.0,30.0,Early,come earlier,rented again
542068,371573,mobile,ended,,,,Early,come earlier,Parking
542093,377073,mobile,ended,-11.0,,,Early,come earlier,Parking
542138,401388,mobile,ended,90.0,,,Late 60-120 min,come later,Parking
542156,295783,connect,ended,17.0,,,Late under 30 min,come later,Parking
542225,409941,mobile,ended,57.0,,,Late 30-60 min,come later,Parking
542323,265917,mobile,ended,-198.0,,,Early,come earlier,Parking
542328,378969,mobile,ended,19.0,,,Late under 30 min,come later,Parking
542393,358124,mobile,ended,,,,Early,come earlier,Parking
542458,299178,mobile,ended,-28.0,,,Early,come earlier,Parking
542461,260759,mobile,ended,191.0,,,Late more than 180 min,come later,Parking
542635,343205,mobile,ended,193.0,,,Late more than 180 min,come later,Parking
542912,381632,mobile,ended,-51.0,,,Early,come earlier,Parking
573175,416646,mobile,canceled,,,,Early,come earlier,Parking
573247,356673,mobile,ended,-9.0,,,Early,come earlier,Parking
573597,351660,connect,ended,23.0,,,Late under 30 min,come later,Parking
573632,392591,mobile,canceled,,,,Early,come earlier,Parking
573698,181625,connect,ended,61.0,,,Late 60-120 min,come later,Parking
573809,167490,mobile,ended,0.0,569307.0,660.0,Late under 30 min,come earlier,rented again
573931,300377,mobile,ended,-8.0,568712.0,120.0,Early,come earlier,rented again
574579,286751,connect,ended,-48.0,,,Early,come earlier,Parking
574763,345701,mobile,ended,-701.0,,,Early,come earlier,Parking
574975,308073,connect,ended,-280.0,,,Early,come earlier,Parking
574990,226227,mobile,ended,-16.0,,,Early,come earlier,Parking
575997,366754,mobile,ended,134.0,,,Late 120-180 min,come later,Parking
576173,347362,mobile,canceled,,,,Early,come earlier,Parking
576401,385643,mobile,ended,17.0,,,Late under 30 min,come later,Parking
557250,305819,connect,ended,-5.0,,,Early,come earlier,Parking
557293,312701,mobile,ended,5.0,,,Late under 30 min,come later,Parking
557441,408445,mobile,canceled,,,,Early,come earlier,Parking
557768,402985,connect,ended,12.0,,,Late under 30 min,come later,Parking
557935,338969,connect,canceled,,552161.0,360.0,Early,come earlier,rented again
